# uptime_s	gc_id	pre_MB	post_MB	cap_MB	kind
1.019	0	21	7	256	Young
3.399	2	92	10	256	Young
6.026	4	71	14	256	Young
6.051	5	16	16	68	Young
6.926	7	50	14	92	Mixed
8.100	9	59	16	92	Young
8.985	11	61	18	112	Young
9.766	13	75	20	112	Young
10.586	15	77	23	136	Young
11.373	17	94	23	136	Young
11.741	19	26	26	96	Young
12.155	20	92	25	128	Mixed
13.022	22	92	25	128	Young
13.729	24	94	27	156	Young
14.806	26	113	29	156	Young
15.318	28	113	30	188	Young
16.350	30	133	34	188	Young
16.788	32	134	34	228	Young
17.262	34	159	35	228	Young
17.670	36	160	35	280	Young
18.231	38	191	36	280	Young
18.751	40	193	37	336	Young
19.423	42	226	38	336	Young
19.975	44	227	39	404	Young
20.700	46	272	40	404	Young
21.371	48	273	41	404	Young
22.080	50	274	43	404	Young
23.077	52	327	44	488	Young
23.995	54	325	45	488	Young
25.020	56	325	46	488	Young
25.942	58	327	48	488	Young
26.883	60	328	49	488	Young
28.734	62	330	51	488	Young
29.861	64	332	53	488	Young
30.765	66	333	54	488	Young
31.707	68	332	56	488	Young
32.777	70	335	86	588	Young
34.057	72	435	94	588	Young
35.121	74	435	96	588	Young
36.140	76	437	98	588	Young
37.109	78	436	101	708	Young
38.365	80	510	105	708	Young
39.562	82	509	107	708	Young
40.719	84	508	111	852	Young
42.313	86	593	115	852	Young
43.739	88	600	118	852	Young
45.184	90	604	121	852	Young
46.654	92	603	126	852	Young
48.163	94	608	130	852	Young
49.611	96	611	132	852	Young
51.127	98	611	137	852	Young
52.640	100	614	140	852	Young
54.033	102	621	144	852	Young
55.554	104	626	148	852	Young
57.058	106	625	150	852	Young
58.636	108	633	155	852	Young
60.222	110	636	159	852	Young
61.868	112	640	162	852	Young
63.527	114	643	166	852	Young
65.066	116	647	170	852	Young
66.747	118	651	173	852	Young
68.330	120	655	176	852	Young
70.019	122	655	180	852	Young
71.735	124	658	184	852	Young
73.524	126	664	186	852	Young
75.256	128	667	190	852	Young
76.939	130	670	193	852	Young
78.685	132	674	196	852	Young
80.355	134	677	199	852	Young
82.078	136	681	202	852	Young
83.784	138	684	204	852	Young
85.395	140	686	208	852	Young
87.142	142	690	212	852	Young
88.515	144	693	215	852	Young
90.153	146	697	218	852	Young
91.879	148	700	221	852	Young
93.822	150	703	225	852	Young
95.651	152	709	227	852	Young
97.468	154	710	231	852	Young
99.388	156	716	233	852	Young
101.105	158	719	237	852	Young
103.108	160	722	240	852	Young
105.013	162	722	244	852	Young
106.773	164	726	247	852	Young
108.629	166	728	250	852	Young
110.414	168	731	254	852	Young
112.070	170	734	257	852	Young
113.775	172	739	259	852	Young
115.455	174	741	263	852	Young
117.287	176	744	266	852	Young
119.090	178	748	268	852	Young
120.775	180	753	272	852	Young
122.604	182	756	275	852	Young
124.424	184	760	277	852	Young
126.166	186	762	280	852	Young
128.033	188	767	284	852	Young
129.822	190	766	287	852	Young
131.672	192	769	290	852	Young
133.451	194	775	293	852	Young
135.110	196	778	295	852	Young
136.637	198	777	299	852	Young
138.252	200	776	301	852	Young
139.885	202	775	305	852	Young
141.551	204	778	307	852	Young
143.371	206	775	309	852	Young
144.913	208	775	313	852	Young
146.552	210	775	316	852	Young
