# uptime_s	gc_id	pre_MB	post_MB	cap_MB	kind
0.473	0	23	7	252	Young
0.856	1	33	10	252	Young
2.297	2	150	12	252	Young
3.051	3	142	14	252	Young
3.064	4	15	15	60	Young
3.074	4	16	16	60	Young
3.339	5	56	14	68	Mixed
3.508	6	46	14	68	Mixed
3.723	7	50	14	82	Young
4.009	8	58	16	82	Young
4.283	9	58	17	82	Young
4.528	10	61	17	82	Young
4.762	11	61	18	100	Young
5.085	12	74	19	100	Young
5.367	13	73	20	100	Young
5.579	14	74	22	100	Young
5.805	15	76	22	120	Young
6.141	16	88	23	120	Young
6.530	17	89	23	120	Young
6.746	18	69	24	120	Young
6.770	19	26	26	88	Young
6.776	19	27	27	88	Young
6.988	20	86	24	118	Mixed
7.272	21	88	25	118	Mixed
7.494	22	89	25	118	Young
7.732	23	89	26	118	Young
7.986	24	90	27	160	Young
8.388	25	117	29	160	Young
8.817	26	117	29	160	Young
9.162	27	117	30	160	Young
9.485	28	118	36	192	Young
9.836	29	138	40	192	Young
10.291	30	142	42	192	Young
10.606	31	150	44	192	Young
10.896	32	150	45	232	Young
11.342	33	173	46	232	Young
11.817	34	172	48	232	Young
12.312	35	178	49	232	Young
12.779	36	177	51	280	Young
13.303	37	207	53	280	Young
13.786	38	209	55	280	Young
14.264	39	209	57	280	Young
14.705	40	209	59	280	Young
15.211	41	213	62	336	Young
15.870	42	248	64	336	Young
16.475	43	246	67	336	Young
17.156	44	249	69	336	Young
17.744	45	251	72	336	Young
18.380	46	254	75	336	Young
19.081	47	259	77	336	Young
19.817	48	261	81	336	Young
20.393	49	263	87	336	Young
20.721	50	267	85	336	Young
21.190	51	271	90	336	Young
21.537	52	272	90	336	Young
21.814	53	276	90	336	Young
22.057	54	276	91	336	Young
22.312	55	277	91	336	Young
22.549	56	275	91	404	Young
22.887	57	317	91	404	Young
23.252	58	317	93	404	Young
23.559	59	317	92	404	Young
23.870	60	318	93	486	Young
24.306	61	365	95	486	Young
25.026	62	367	94	486	Young
25.476	63	366	95	486	Young
25.875	64	369	94	486	Young
26.212	65	370	95	486	Young
26.545	66	373	96	486	Young
26.844	67	378	96	486	Young
27.177	68	378	97	486	Young
27.590	69	379	97	486	Young
28.394	70	379	95	486	Young
29.244	71	379	98	486	Young
30.154	72	380	102	486	Young
30.920	73	380	105	486	Young
31.710	74	381	108	486	Young
32.569	75	380	112	486	Young
33.428	76	382	117	486	Young
34.294	77	383	121	486	Young
35.202	78	387	124	486	Young
36.146	79	390	130	486	Young
37.268	80	394	133	486	Young
38.179	81	399	139	486	Young
38.497	82	403	137	486	Young
39.045	83	409	142	486	Young
39.366	84	408	143	486	Young
39.721	85	413	142	486	Young
40.074	86	412	143	584	Young
40.528	87	471	143	584	Young
40.881	88	471	146	584	Young
41.270	89	472	146	584	Young
41.640	90	472	147	584	Young
42.035	91	473	148	702	Young
42.616	92	542	147	702	Young
43.077	93	543	148	702	Young
43.586	94	542	149	702	Young
44.129	95	545	149	702	Young
44.801	96	549	163	702	Young
45.768	97	551	175	702	Young
46.421	98	553	186	702	Young
47.138	99	580	195	702	Young
47.844	100	581	208	702	Young
48.538	101	592	219	702	Young
49.270	102	603	229	702	Young
49.973	103	615	241	702	Young
50.609	104	627	251	702	Young
51.334	105	631	259	702	Young
52.011	106	631	269	702	Young
52.603	107	633	278	834	Young
53.503	108	750	287	834	Young
54.254	109	749	300	834	Young
55.041	110	748	310	834	Young
55.723	111	746	321	834	Young
56.414	112	753	331	834	Young
57.000	113	743	340	834	Young
57.679	114	746	355	834	Young
58.335	115	741	368	960	Young
59.288	116	868	385	960	Young
59.920	117	863	400	960	Young
61.051	118	862	402	960	Young
62.028	119	872	400	960	Young
62.970	120	874	400	960	Young
64.244	121	874	401	960	Young
65.832	122	875	401	960	Young
66.887	123	875	431	960	Young
67.945	124	845	408	960	Young
68.856	125	898	428	960	Young
69.545	126	684	413	960	Young
69.897	128	637	420	960	Young
70.623	130	860	437	960	Young
70.733	131	546	482	960	Young
70.826	131	518	518	960	Young
71.520	132	915	409	960	Mixed
