# uptime_s	gc_id	pre_MB	post_MB	cap_MB	kind
0.515	0	23	7	252	Young
0.972	1	33	9	252	Young
2.519	2	145	12	252	Young
3.434	3	146	14	252	Young
3.445	4	15	15	60	Young
3.450	4	15	15	60	Young
3.712	5	56	14	68	Mixed
3.880	6	46	14	68	Mixed
4.104	7	50	14	68	Young
4.324	8	50	15	86	Young
4.623	9	61	16	86	Young
4.894	10	60	17	86	Young
5.143	11	63	17	86	Young
5.379	12	61	18	104	Young
5.692	13	74	19	104	Young
5.907	14	75	21	104	Young
6.134	15	77	22	104	Young
6.340	16	78	22	132	Young
6.716	17	96	23	132	Young
6.977	18	80	23	132	Young
7.008	19	27	27	88	Young
7.015	19	27	27	88	Young
7.246	20	85	24	94	Mixed
7.453	21	74	24	114	Mixed
7.692	22	88	24	114	Young
7.925	23	88	25	114	Young
8.174	24	87	26	114	Young
8.500	25	88	28	148	Young
8.906	26	108	29	148	Young
9.253	27	109	30	148	Young
9.657	28	110	31	148	Young
9.943	29	111	36	178	Young
10.283	30	130	40	178	Young
10.687	31	134	42	178	Young
10.984	32	140	43	178	Young
11.325	33	141	44	214	Young
11.737	34	164	45	214	Young
12.060	35	163	47	214	Young
12.478	36	167	48	214	Young
12.824	37	168	49	258	Young
13.400	38	193	52	258	Young
13.904	39	194	53	258	Young
14.391	40	195	55	258	Young
14.887	41	197	57	258	Young
15.403	42	199	59	310	Young
16.142	43	231	62	310	Young
16.795	44	232	63	310	Young
17.510	45	235	67	310	Young
18.164	46	237	69	310	Young
18.755	47	239	72	310	Young
19.339	48	242	74	372	Young
20.376	49	280	78	372	Young
21.241	50	280	80	372	Young
21.913	51	284	84	372	Young
22.157	52	288	84	372	Young
22.787	53	290	88	372	Young
23.048	54	290	88	372	Young
23.276	55	294	90	372	Young
23.507	56	298	90	448	Young
23.965	57	344	90	448	Young
24.253	58	344	91	448	Young
24.664	59	343	92	448	Young
25.070	60	342	92	448	Young
25.438	61	342	93	448	Young
26.223	62	343	93	448	Young
26.824	63	343	93	448	Young
27.231	64	343	93	448	Young
27.640	65	343	94	538	Young
28.098	66	400	95	538	Young
28.494	67	403	94	538	Young
28.825	68	402	96	538	Young
29.213	69	410	96	538	Young
30.033	70	410	94	538	Young
31.031	71	410	98	538	Young
31.895	72	410	102	538	Young
32.950	73	410	106	538	Young
34.034	74	412	110	538	Young
35.092	75	412	115	538	Young
36.190	76	413	118	538	Young
37.560	77	414	122	538	Young
38.867	78	418	127	538	Young
40.181	79	423	132	538	Young
41.274	80	426	137	538	Young
41.829	81	431	140	538	Young
42.265	82	434	141	538	Young
42.688	83	439	141	538	Young
43.101	84	439	143	538	Young
43.491	85	443	144	538	Young
43.996	86	442	143	538	Young
44.696	87	443	144	538	Young
45.343	88	442	144	538	Young
45.849	89	442	145	538	Young
46.426	90	447	146	538	Young
46.867	91	446	146	538	Young
47.294	92	446	146	538	Young
47.664	93	446	148	538	Young
48.041	94	446	147	538	Young
48.388	95	451	148	538	Young
48.887	96	454	161	538	Young
49.654	97	457	171	538	Young
50.368	98	459	177	538	Young
50.947	99	481	181	538	Young
51.527	100	481	186	538	Young
52.029	101	480	192	538	Young
52.548	102	482	197	538	Young
53.055	103	487	202	538	Young
53.586	104	486	207	646	Young
54.401	105	571	215	646	Young
55.005	106	571	218	646	Young
55.667	107	576	225	646	Young
56.299	108	579	229	646	Young
56.841	109	579	234	646	Young
57.438	110	578	240	646	Young
58.129	111	582	245	646	Young
58.720	112	581	251	646	Young
59.263	113	581	256	646	Young
59.820	114	584	261	646	Young
60.324	115	581	266	646	Young
60.820	116	584	272	776	Young
61.635	117	706	278	776	Young
62.386	118	700	282	776	Young
63.133	119	696	294	776	Young
63.824	120	694	300	776	Young
64.538	121	698	309	776	Young
65.192	122	701	314	776	Young
66.287	123	698	314	776	Young
66.898	124	710	314	776	Young
67.723	125	710	431	852	Young
68.287	126	733	481	852	Young
68.734	127	743	566	876	Young
68.957	128	698	578	876	Young
69.146	129	640	462	876	Young
69.246	128	538	538	876	Young
69.747	130	738	482	876	Mixed
70.322	131	754	493	1380	Mixed
70.440	132	523	499	1380	Mixed
72.101	133	1079	633	1380	Mixed
72.948	134	1113	702	1380	Young
73.786	135	1116	736	1380	Young
74.512	136	1148	809	2090	Young
77.117	137	1645	903	2090	Young
78.620	138	1803	876	2090	Young
80.264	139	1860	926	2090	Young
81.791	140	1874	991	2090	Young
83.186	141	1839	893	2090	Young
85.077	142	1879	939	2090	Young
86.599	143	1881	882	2090	Young
88.384	144	1916	954	2090	Young
89.910	145	1892	999	2090	Young
91.520	146	1845	1012	2090	Young
92.869	147	1828	1005	2090	Young
94.484	148	1869	924	2090	Young
95.373	149	1441	939	2090	Young
96.575	151	1605	973	2090	Young
96.679	152	1170	562	1880	Young
96.755	152	562	562	1880	Young
