a2500-nopersons	2500	43103	31.53	32.7	32.12	17.75	17.74	17.74	851	897
a2500-persons	2500	53942	48.63	46.82	47.73	20.34	20.61	20.48	989	940
a7500-nopersons	7500	131410	156.25	163.24	159.75	38.11	37.35	37.73	1913	1524
a7500-persons	7500	167197	233.7	236.48	235.09	44.64	43.07	43.86	2091	1887
a7500-w3-persons	7500	167184	251.72	254.33	253.03	43.86	44.49	44.17	1941	1815
a7500-w9-persons	7500	167212	305.2	330.5	317.85	48.12	47.87	47.99	2171	1773
a22500-nopersons	22500	431677	1458.21	1486.91	1472.56	103.64	102.86	103.25	3732	3182
a22500-persons	22500	533147	2320.94	2337.98	2329.46	131.39	129.76	130.57	3973	3759
a7500-persons	7500	167197	111.23	110.67	110.95	46.41	46.35	46.38	2353	1626
a2500-nopersons	2500	43103	26.79	27.15	26.97	18.19	18.05	18.12	969	789
a7500-persons	7500	167197	96.73	97.24	96.98	47.35	47.24	47.30	2010	2357
a2500-nopersons	2500	43103	25.01	24.47	24.74	17.75	18.11	17.93	933	796
